Index,Distance
3,"(True, 213.20864260203828)"
3,"(True, 390.1081926501685)"
3,"(True, 17355.453129297654)"
3,"(True, 213.20864260203828)"
3,"(True, 5508.020993616598)"
3,"(True, 2608.387996687688)"
3,"(True, 2580.5992697011893)"
3,"(True, 47.61852060132697)"
3,"(True, 7714.76363159349)"
3,"(True, 1530.1102830173954)"
3,"(True, 490.6687666666667)"
3,"(True, 2578.3673562639237)"
3,"(True, 1082.005472229208)"
3,"(True, 5280.620182242782)"
3,"(False, None)"
3,"(True, 945.6208304640206)"
3,"(True, 2497.451818919798)"
3,"(True, 2569.3034132052803)"
3,"(True, 3171.4956590322868)"
3,"(True, 2568.503995195148)"
3,"(True, 93091.46927005322)"
3,"(True, 349.1874844801714)"
3,"(True, 786.7515666666666)"
3,"(True, 81.09470598341024)"
4,"(True, 1105.9282003593207)"
4,"(True, 5253.85963539141)"
4,"(True, 1270.074408620916)"
4,"(True, 2580.591970021705)"
4,"(True, 813.8762660363255)"
4,"(True, 96.63226666666667)"
4,"(False, None)"
4,"(True, 81.09470598341024)"
4,"(True, 129.9120608606079)"
4,"(True, 267.7926161428085)"
4,"(True, 142.02911154664)"
4,"(True, 142.02911154664)"
4,"(False, None)"
4,"(True, 50.26473647434284)"
4,"(True, 173.48621538808086)"
4,"(True, 1142.7970611152093)"
4,"(True, 409.3794534821502)"
4,"(True, 213.20864260203828)"
4,"(True, 1131.3155853170874)"
4,"(True, 140.07081082460368)"
4,"(True, 314.00689223452827)"
4,"(True, 285.0179948692586)"
4,"(True, 273.4141198932992)"
4,"(True, 46444.01511715798)"
4,"(True, 5605.861162623877)"
4,"(True, 678.6544246320599)"
4,"(True, 34501.9617366383)"
4,"(True, 10959.100068220374)"
4,"(True, 1790.6193171827576)"
4,"(True, 257.63674709858435)"
4,"(True, 88.56148985143834)"
4,"(True, 2570.4059947885976)"
4,"(True, 100.8643817956003)"
4,"(True, 5709.103230934547)"
4,"(True, 285.1666666666667)"
4,"(True, 2599.333975140656)"
4,"(True, 44732.75937142874)"
4,"(True, 2566.791132798248)"
4,"(True, 208618.66106666665)"
4,"(True, 2575.8166848583073)"
4,"(True, 147.57336705879706)"
4,"(True, 1388.6572988460766)"
4,"(True, 2230.3674620346096)"
4,"(True, 87.73521366005265)"
4,"(True, 349.6593372477044)"
4,"(True, 3576.63968222894)"
4,"(True, 2561.4939287764446)"
4,"(True, 1085.5961453544514)"
4,"(True, 5824.026766666667)"
4,"(False, None)"
4,"(True, 1993.3923999999997)"
4,"(False, None)"
4,"(True, 478.8754732150699)"
4,"(False, None)"
4,"(True, 2480.744304082668)"
4,"(True, 8981.251233912453)"
4,"(False, None)"
4,"(True, 1174.8865049519234)"
4,"(True, 748.6827666666667)"
4,"(True, 213.20864260203828)"
4,"(True, 143.5867267631198)"
4,"(False, None)"
4,"(True, 219.4337796581871)"
4,"(True, 331.3181740841797)"
4,"(False, None)"
4,"(True, 129.9120608606079)"
4,"(True, 2509.7103944972982)"
4,"(True, 4738.916666666667)"
4,"(True, 1241.3081681112044)"
4,"(True, 2666.1394421801165)"
4,"(True, 129.9120608606079)"
4,"(True, 635.1855666666668)"
4,"(True, 187.53585581977168)"
4,"(False, None)"
4,"(True, 8530.065731753353)"
4,"(True, 1337.8858716210234)"
4,"(True, 83.121647681807)"
4,"(True, 331.3181740841797)"
4,"(True, 105.31442518025187)"
4,"(False, None)"
4,"(True, 2483.428058991851)"
4,"(True, 1112.4867666666667)"
4,"(True, 771.6668932213256)"
4,"(True, 375.26998474392593)"
4,"(True, 279.8723026680081)"
4,"(True, 1800.7354875144156)"
4,"(False, None)"
4,"(True, 95.46982985526256)"
4,"(True, 2888.6715203339413)"
4,"(True, 2097.0847396399804)"
4,"(True, 118444.34672896481)"
4,"(True, 12762.947849999999)"
4,"(True, 285.0179948692586)"
4,"(True, 92.25065230345253)"
4,"(True, 40.78143223474194)"
4,"(True, 171.18341839246858)"
4,"(True, 5456.377026747824)"
4,"(True, 2571.817176554128)"
4,"(True, 2796.474824488956)"
4,"(True, 809533.2938363801)"
5,"(True, 913.990958343364)"
5,"(True, 5041.426766666668)"
5,"(True, 9234.861640742422)"
5,"(True, 551.9811103937988)"
5,"(True, 311.6338255593911)"
5,"(True, 3417.1347520317195)"
5,"(True, 926.7699376434945)"
5,"(True, 5406.527196130871)"
5,"(True, 95.43829483584328)"
5,"(False, None)"
5,"(True, 2614.3310854241586)"
5,"(True, 100.8643817956003)"
5,"(True, 2205.989440661666)"
5,"(True, 872.9765340437807)"
5,"(True, 27.34219260720657)"
5,"(False, None)"
5,"(True, 150.91615827320285)"
5,"(True, 14442.561222141998)"
5,"(True, 119.10158278375206)"
5,"(True, 20019.058530012273)"
5,"(True, 541.1061726720956)"
5,"(True, 457.1691666666666)"
5,"(True, 3051.6241381908903)"
5,"(True, 3030.2188757260856)"
5,"(True, 945.1094604269142)"
5,"(True, 1063.9906327548624)"
5,"(True, 3352.9969091825847)"
5,"(True, 227.27548277063906)"
5,"(True, 265.78653599409523)"
5,"(True, 811.7077039242)"
5,"(True, 2565.534834357807)"
5,"(True, 2221.587430820624)"
5,"(True, 105.31442518025187)"
5,"(True, 89.58556666666661)"
5,"(True, 943.1944819397346)"
5,"(True, 600.130408507416)"
5,"(True, 5002.07047226289)"
5,"(True, 2205.447251138206)"
5,"(True, 286.33170250263134)"
5,"(True, 2483.428058991851)"
5,"(True, 75.6272736846084)"
5,"(True, 375.79048481536967)"
5,"(True, 777.2829435420977)"
5,"(True, 2523.5842500113918)"
5,"(False, None)"
5,"(False, None)"
5,"(True, 2619.692032905942)"
5,"(True, 3286.2427666666667)"
5,"(True, 1985.6546177590653)"
5,"(True, 121.74944031389806)"
5,"(True, 1809.2661)"
5,"(True, 2488.5525509337426)"
5,"(True, 540.8111166666666)"
5,"(True, 690336.2005010174)"
5,"(False, None)"
5,"(False, None)"
5,"(True, 326.21651849244586)"
5,"(True, 422.7487195478907)"
5,"(False, None)"
5,"(False, None)"
5,"(True, 13405.261990686993)"
5,"(True, 1071.6184384463816)"
5,"(True, 7629.688945688881)"
5,"(True, 75.50956666666663)"
5,"(True, 492.3968095766113)"
5,"(True, 549.0805985219588)"
5,"(True, 267.7926161428085)"
5,"(True, 837.2371465148474)"
5,"(True, 2598.3575007544846)"
5,"(True, 85.54426666666662)"
5,"(False, None)"
5,"(True, 54559.06643563604)"
5,"(True, 1030.140267487803)"
5,"(True, 2630.826395046245)"
5,"(True, 1153.0518725172108)"
5,"(True, 729.132567063384)"
5,"(True, 88.56148985143834)"
5,"(True, 11738.768453901219)"
5,"(True, 727.9849146627195)"
5,"(True, 92.25065230345253)"
5,"(True, 239.52556666666663)"
5,"(False, None)"
5,"(True, 2049.052094604912)"
5,"(True, 758.6368808621562)"
5,"(True, 289.7022872040667)"
5,"(True, 368.12294854800103)"
5,"(True, 83.18458801514147)"
5,"(True, 103.08760182072436)"
